broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,454,ဣကေန်,ɔeˀ-ken ,อิ-เกน ,,,n,นิ้วก้อย,,,,,,,,,,,,,,,,,
,455,ဣဂှ်,ɔeˀ-kòh ,อิ-โก่ฮ ,,,n,อันนั้น,n,สิ่งนั้น,adv,นั้น,,,,,,,,,,,,,
,456,ဣစဳ,ɔeˀ-caɪ ,อิ-จอย ,ɔeˀ-ci ,อิ-จี,n,อาสาว,n,น้าสาว,,,,,,,,,,,,,,,
,457,ဣစဳဒေံ,ɔeˀ-caɪ-tèˀ ,อิ-จอย-เต่ะ ,ɔeˀ-ci-tèˀ ,อิ-จี-เต่ะ ,n,อาสาว,n,น้าสาว,,,,,,,,,,,,,,,
,458,ဣဏံ,ɔeˀ-nɒˀ ,อิ-เน่าะ ,,,n,อันนี้,n,สิ่งนี้,adv,นี้,,,,,,,,,,,,,
,459,ဣတ,ɔeˀ-taˀ ,อิ-ตะ ,,,n,พ่อ,,,,,,,,,,,,,,,,,
,460,ဣတလိ,ɔeˀ-taˀ-lìˀ ,อิ-ตะ-ลิ่ ,,,n,ชาวอิตาเลียน,,,,,,,,,,,,,,,,,
,461,ဣတှ်,ɔeˀ-tɒh ,อิ-ตอฮ ,,,n,ยาย,n,ย่า,,,,,,,,,,,,,,,
,462,ဣတေံ,ɔeˀ-teˀ ,อิ-เต่ะ ,,,pron,เขา,pron,ท่าน,pron,แก,pron,บุรุษที่ 3,,,,,,,,,,,
,463,ဣဒေါဝ်,ɔeˀ-tòw ,อิ-โต่ว ,,,n,นิ้วกลาง,,,,,,,,,,,,,,,,,
,464,ဣတံ,ɔeˀ-tɒˀ ,อิ-เต่าะ ,,,pron,ท่านทั้งหลาย,pron,แกทั้งหลาย,,,,,,,,,,,,,,,
,465,ဣဒ္ဓိ,ɔeˀt-tʰìˀ ,อิด-ทิ่ ,,,n,อิทธิ,n,ฤทธิ์,,,,,,,,,,,,,,,
,466,ဣဒ္ဓိပါတ်,ɔeˀt-tʰìˀ-pat ,อิด-ทิ่-ปาด ,,,n,อิทธิบาท,n,ความพยายาม,,,,,,,,,,,,,,,
,467,ဣဒေံ,ɔeˀ-tèˀ ,อิ-เต่ะ ,,,n,น้าสาว,n,อาสาว,,,,,,,,,,,,,,,
,468,ဣဓိဗလ,ɔeˀ-tʰìˀ-pɛ̀ˀ-lɛ̀ˀ ,อิ-ทิ่-เปี่ยะ-เลี่ยะ ,,,n,อิทธิพล,n,ผู้มีอำนาจ,,,,,,,,,,,,,,,
,469,ဣန်,ɔeˀn ,อิน ,,,n,พระอินทร์,,,,,,,,,,,,,,,,,
,470,ဣန္ဒြဳ,ɔeˀn-trì ,อิน-ตรี่ ,,,n,อินทรีย์,,,,,,,,,,,,,,,,,
,471,ဣန္နသဳ,ɔeˀn-nɛ̀ˀ-saɪ ,อิน-เนี่ยะ-ซอย ,,,n,ดินประสิว,,,,,,,,,,,,,,,,,
,472,ဣန်သွဵု,ɔeˀn-saˀwɒw ,อิน-ซะวอฺว ,,,n,พระอิศวร,n,ผู้เป็นใหญ่,,,,,,,,,,,,,,,
,473,ဣနာဲ,ɔeˀ-na̤i ,อิ-น่าย ,,,n,ป้า,,,,,,,,,,,,,,,,,
,474,ဣပၠင်ကျာ,ɔeˀ-plaˀŋ-kja ,อิ-ปลัง-กยา ,,,n,คนโอ้อวด,n,คนคุยอวด,n,คนคุยโม้,,,,,,,,,,,,,
,475,ဣမာင်,ɔeˀ-ma̤ŋ ,อิ-ม่าง ,,,n,สามี,n,ผัว,,,,,,,,,,,,,,,
,476,ဣမာင်ကလဝ်,ɔeˀ-ma̤ŋ-kaˀ-lòw ,อิ-ม่าง-กะ-โล่ว ,ɔeˀ-ma̤ŋ-kaˀ-lò ,อิ-ม่าง-กะ-ลอ ,n,ภรรยา,n,เมีย,,,,,,,,,,,,,,,
,477,ဣမာင်သ္ကဲ,ɔeˀ-ma̤ŋ-saˀ-koa ,อิ-ม่าง-ซะ-กัว ,,,n,ชายชู้,n,หญิงชู้,,,,,,,,,,,,,,,
,478,ဣမိ,ɔeˀ-mìˀ ,อิ-มิ่ ,,,n,หมอตำแย,n,"คำเรียกเด็กผู้หญิง เช่น อีหนู, นางหนู",,,,,,,,,,,,,,,
,479,ဣရှု,ɔeˀ-hraò ,อิ-เฮร่า ,,,adv,คำลงท้าย,adv,แล้ว,adv,แล้วระ,,,,,,,,,,,,,
,480,ဣရုဗိုတ်,ɔeˀ-ruˀ-pɤˀt ,อิ-รุ่-เปิ่ด ,,,n,อิรุเวทย์,,,,,,,,,,,,,,,,,
,481,ဣလှဵု,ɔeˀ-hlɒw ,อิ-ฮลอฺว ,,,pron,อันไหน,pron,สิ่งไหน,adv,ไหน,,,,,,,,,,,,,
,482,ဣဝံ,ɔeˀ-wòˀ ,อิ-โว่ะ ,,,n,สิ่งนี้,n,อันนี้,adv,อย่างนี้,adv,เช่นนี้,adv,ดังนี้,,,,,,,,,
,483,ဣဝီု,ɔeˀ-wɤˀm ,อิ-เวิ่ม ,,,n,ลมหายใจ,,,,,,,,,,,,,,,,,
