broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,655,ကရေင်,kaˀ-rɒˀŋ ,กะ-ร่อง ,,,adv,เฉย,,,,,,,,,,,,,,,မံင်ကရေင်,adv,อยู่เฉย
,656,ကရေင်,kaˀ-rɛ̀aŋ ,กะ-เรียง,,,n,ชาวกะเหรี่ยง,,,,,,,,,,,,,,,,,
,657,ကရဲ,kaˀ-ròa ,กะ-รั่ว ,,,n,ลูกข่าง,,,,,,,,,,,,,,,,,
,658,ကရေဲ,kaˀ-rɛ̀a ,กะ-เรี่ย ,,,n,ปลาตากเค็มที่บั้งเป็นริ้ว,,,,,,,,,,,,,,,,,
,659,ကရောတ်ကသဝ်,kaˀ-ròt-kaˀ-sɒw ,กะ-โร่ด-กะ-ซอว ,,,v,ร้องให้คร่ำครวญ,,,,,,,,,,,,,,,,,
,660,ကရဴ,kaˀ-rɛ̀a ,กะ-เรีย ,kaˀ-rao,กะ-ราว,n,ทาง,n,หนทาง,n,prep,ข้างหลัง,,,,,,,,,,ကွာ်ကရဴ,n,เดินทาง
,661,ကရံင်,kaˀ-rɒˀŋ ,กะ-ร่อง ,,,n,ไม้เสียบปลา,adj,แก่ (ใช้กับคน),v,ทำให้แก่กล้า,,,,,,,,,,,,,
,662,ကရး,kaˀ-rɛ̀h ,กะ-เรี่ยฮ ,,,adj,เรี่ยราด,adj,เกลื่อนกลาด,adj,กระจาย,,,,,,,,,,,,,
,663,ကရးလိက်,kaˀ-rɛ̀h-lɤˀk ,กะ-เรี่ยฮ-เลิ่ก ,,,v,ประกาศข่าว,v,กระจายข่าว,v,ประชาสัมพันธ์,,,,,,,,,,,,,
,664,ကရိုက်,kaˀ-rə̤k ,กะ-ร่าฺก ,,,adj,พอเหมาะ,adj,พอควร,,,,,,,,,,,,,,,
,665,ကရိုက်စိုတ်,kaˀ-rə̤k-cɒt ,กะ-ร่าฺก-จอฺด ,,,adj,ตามใจ,adj,แล้วแต่ใจ,,,,,,,,,,,,,,,
,666,ကရိုပ်,kaˀ-rɤˀp ,กะ-เริ่บ ,,,adj,(ฝนตก)ชุก,,,,,,,,,,,,,,,,,
,667,ကလေၚတ်,kaˀ-lè-ŋòt ,กะ-เล่-ง่ด ,,,n,ปลากด,,,,,,,,,,,,,,,,,
,668,ကလတာ်ကၠဵု,kaˀ-lɛ̀ˀ-tak-klɒw ,กะ-เลี่ยะ-ตาก-กลอฺว ,,,n,ปลาลิ้นหมา,,,,,,,,,,,,,,,,,
,669,ကလတာံ,kaˀ-lɛ̀ˀ-tam ,กะ-เลี่ยะ-ตาม ,,,n,ปลาเนื้ออ่อน,,,,,,,,,,,,,,,,,
,670,ကလဒက်,kaˀ-lɛ̀ˀ-tɛˀk ,กะ-เลี่ยะ-แต่ก ,,,n,ปลาก้าง,,,,,,,,,,,,,,,,,
,671,ကလနန်,kaˀ-lɛ̀ˀ-nòn ,กะ-เลี่ยะ-น่น ,,,n,ปลาช่อน,,,,,,,,,,,,,,,,,
,672,ကလဗါတ်,kaˀ-lɛ̀ˀ-pa̤t ,กะ-เลี่ยะ-ป่าด ,,,n,ปลาดัก,,,,,,,,,,,,,,,,,
,673,ကလတ်,kaˀ-lòt ,กะ-ล่ด ,,,n,ทะนาน,n,ลูกมะแพง,n,ลูกซ่าน,,,,,,,,,,,,,
,674,ကလအ်,kaˀ-lòˀ ,กะ-โล่ะ ,,,v,ขมาโทษ,v,ลา(กลับ),,,,,,,,,,,,,,,
,675,ကလာ,kaˀ-lɛ̀a ,กะ-เลีย ,kaˀ-la,กะ-ลา,n,หีบ,n,ห่อ,n,กระป๋อง,n,กระเป๋า,n,หีบศพ,n,วันมะเรื่อง,,,,,,,
,676,ကလာ်,kaˀ-la̤k ,กะ-ล่าก ,,,n,ม้วนผ้าที่ได้จากการทอด้วยกี่,,,,,,,,,,,,,,,,,
,677,ကလာဲ,kaˀ-la̤i ,กะ-ล่าย ,,,v,สยาย,,,,,,,,,,,,,,,ကလာဲသော်,v,สยายผม
,678,ကလိ,kaˀ-lìˀ ,กะ-ลิ่ ,kaˀ-lɔɪ ,กะ-ลอย,n,โสน,v,ผ่านพ้น,v,ได้,v,ลุ,v,ล่วง,,,,,,,ကလိဂွံဒြပ်,v,ได้รับสิ่งของ
,679,ကလိကလဴ,kaˀ-lìˀ-kaˀ-lɛ̀a ,กะ-ลิ่-กะ-เลีย ,kaˀ-lɔɪ-kaˀ-lao ,กะ-ลอย-กะ-ลาว,n,โสนหางไก่,,,,,,,,,,,,,,,,,
,680,ကလိင်,kaˀ-lɤˀŋ ,กะ-เลิ่ง ,,,v,หลง,n,กระทิง,,,,,,,,,,,,,,,
,681,ကလိတ်,kaˀ-lìˀt ,กะ-ลิ่ด ,,,v,ลื่น,,,,,,,,,,,,,,,,,
,682,ကလဳ,kaˀ-lì ,กะ-ลี่ ,,,n,วันมะรืน,,,,,,,,,,,,,,,,,
,683,ကလုက်,kaˀ-lɤˀk ,กะ-เลิ่ก ,,,v,ขานรับ,,,,,,,,,,,,,,,,,
,684,ကလုတ်,kaˀ-lùˀt ,กะ-ลุ่ด ,,,n,ทูต,v,เพาะ,,,,,,,,,,,,,,,
,685,ကလုဲ,kaˀ-lùi ,กะ-ลุ่ย ,,,n,มะขามป้อม,,,,,,,,,,,,,,,,,
,686,ကလေက်,kaˀ-lɛ̀ˀk ,กะ-เลี่ยก ,,,n,วันถัดจากวันมะเรื่อง,n,อีก 5 วันข้างหน้า,,,,,,,,,,,,,,,
,687,ကလေင်,kaˀ-lɒˀŋ ,กะ-ล่อง ,kaˀ-lɛ̀aŋ ,กะ-เลียง,v,กลับ,,,,,,,,,,,,,,,,,
,688,ကလေတ်,kaˀ-lèt ,กะ-เล่ด ,,,v,ป้าย,v,ทา,,,,,,,,,,,,,,,
,689,ကလေန်,kaˀ-lèn ,กะ-เล่น ,,,v,บวม,v,เต่ง,,,,,,,,,,,,,,,
,690,ကလေမ်,kaˀ-lèm ,กะ-เล่ม ,,,v,เลีย,v,ดูดกิน,,,,,,,,,,,,,,,
,691,ကလေဟ်,kaˀ-lèˀh ,กะ-เล่ฮ ,,,v,บิ่น,v,ริมหรือขอบแตกออกบางส่วน,,,,,,,,,,,,,,,
,692,ကလေဟ်သတ်,kaˀ-lèˀh-sɒt ,กะ-เล่ฮ-ซอด ,,,n,กรรไกรหนีบหมาก,,,,,,,,,,,,,,,,,
,693,ကလေံ,kaˀ-lèˀ ,กะ-เล่ะ ,,,v,กรีด,v,กรีดมีด,v,เลีย,v,ชิม,v,แลบ,,,,,,,,,
,694,ကလေအ်,kaˀ-lèˀ ,กะ-เล่ะ ,,,v,กรีด,v,กรีดมีด,v,เลีย,v,ชิม,v,แลบ,,,,,,,,,
,695,ကလေံထောံ,kaˀ-lèˀ-tʰoˀ ,กะ-เล่ะ-โทะ ,,,v,ทำให้หาย,,,,,,,,,,,,,,,,,
,696,ကလေအ်ထောအ်,kaˀ-lèˀ-tʰoˀ ,กะ-เล่ะ-โทะ ,,,v,ทำให้หาย,,,,,,,,,,,,,,,,,
,697,ကလေဲ,kaˀ-lɛ̀a ,กะ-เลี่ย ,,,v,ขมึง(ใช้กับตา),,,,,,,,,,,,,,,,,
,698,ကလော်,kaˀ-lòk ,กะ-โล่ก ,,,n,ผี,,,,,,,,,,,,,,,,,
,699,ကလော်ဂလာ,kaˀ-lòk-kɛ̀ˀ-lɛ̀a ,กะ-โล่ก-เกี่ยะ-เลีย ,,,n,ผีเสื้อ,,,,,,,,,,,,,,,,,
,700,ကလောတ်,kaˀ-lòt ,กะ-โล่ด ,,,n,ขลุ่ย,,,,,,,,,,,,,,,,,
,701,ကလောဒညာတ်,kaˀ-ləʊ-tòɲ-ɲa̤t ,กะ-โลว-ต่ญ-ญ่าด ,kaˀ-ləʊ-tɛ̀ˀ-ɲa̤t ,กะ-โลว-เตี่ยะ-ญ่าด ,n,ญาติพี่น้อง,,,,,,,,,,,,,,,,,
