broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,491,ဥက္ကထ,ɤk-kaˀ-tʰaˀ ,เอิก-กะ-ทะ ,,,n,ประธาน,,,,,,,,,,,,,,,,,
,492,ဥက္ကံသၞ,ɤk-kɔmˀ-saˀnaˀ ,เอิก-กอฺม-ซะนะ ,,,n,การยกย่อง,n,การเลื่อนขั้นให้สูงขึ้น,,,,,,,,,,,,,,,
,493,ဥစ္စာယိုဟ်,ùˀc-ca-jɤˀh ,อุจ-จา-เย่อฮ ,,,n,การสั่งสอน,n,แบตเตอรี่,,,,,,,,,,,,,,,
,494,ဥဇု,u-cuˀ ,อุ-จุ่ ,,,adj,ซื่อตรง,adj,ตรง,,,,,,,,,,,,,,,
,495,ဥတ္တရ,ùˀt-taˀ-rɛ̀ˀ ,อุด-ตะ-เรี่ยะ ,,,n,อุดร,n,ทิศเหนือ,,,,,,,,,,,,,,,
,496,ဥတု,u-taò ,อุ-เต่า ,,,n,ฤดู,,,,,,,,,,,,,,,,,
,497,ဥဒ္ဓက,u-taò ,อุด-เที่ยะ-กะ ,,,n,ชื่อกลองมอญชนิดหนึ่ง,,,,,,,,,,,,,,,,,
,498,ဥဒျာန်,u-tɛ̤ˀja̤n ,อุ-เตี่ยะย่าน ,,,n,สวนอุทยาน,,,,,,,,,,,,,,,,,
,499,ဥဒါဟိုဝ်,u-tɛ̀a-hɒw ,อุ-เตีย-ฮอฺว ,,,n,อุทาหรณ์,,,,,,,,,,,,,,,,,
,500,ဥဒေ,u-tè ,อุ-เต่ ,,,v,ขึ้น,v,ทะยาน,n,พระอาทิตย์,,,,,,,,,,,,,
,501,ဥပ်,ùˀp ,อุบ ,,,v,คลุม,v,อบ,,,,,,,,,,,,,ဥပ်ပလက်,v,อบให้เหงื่อออก
,502,ဥပကာ,u-paˀ-ka ,อุ-ปะ-กา ,,,v,อุปการะ,v,ค้ำจุน,v,เกื้อหนุน,,,,,,,,,,,,,
,503,ဥပစါ,u-paˀ-ca ,อุ-ปะ-จา ,,,n,บริเวณ,n,เขต,,,,,,,,,,,,,,,
,504,ဥပဒြဴ,u-paˀ-trɛ̀a ,อุ-ปะ-เตรีย ,,,n,อุปัทวันตราย,,,,,,,,,,,,,,,,,
,505,ဥပဒေဟ်,u-paˀ-tèˀh ,อุ-ปะ-เต่ฮ ,,,n,คำสั่ง,n,กฎระเบียบ,n,ข้อบังคับ,n,กฎธรรมชาติ,,,,,,,,,,,
,506,ဥပ္ပဇ္ၛာဲ,ùˀp-pɒc-cʰa̤i ,อุบ-ปอจ-ช่าย ,,,n,พระอุปัชฌาย์,,,,,,,,,,,,,,,,,
,507,ဥပ္ပတိ,ùˀp-paˀ-tɔɪ ,อุบ-ปะ-ตอฺย ,,,n,การอุบัติขึ้น,n,การเกิดขึ้น,,,,,,,,,,,,,,,
,508,ဥပ္ပမာ,ùˀp-paˀ-mɛ̀a ,อุบ-ปะ-เมีย ,,,n,การเปรียบเทียบ,n,การเปรียบเทียบ,,,,,,,,,,,,,,,
,509,ဥပ္ပမေယျ,ùˀp-paˀ-mɛ̀a-jɛ̀ˀ ,อุบ-ปะ-เมี่ย-เยี่ยะ ,,,n,การอุปไมย,n,สิ่งที่นำมาเปรียบเทียบ,,,,,,,,,,,,,,,
,510,ဥပပါတ်,u-paˀ-pat ,อุ-ปะ-ปาด ,,,n,อุปัทวเหตุ,,,,,,,,,,,,,,,,,
,511,ဥပ္ပာဲ,ùˀp-pai ,อุบ-ปาย ,,,n,อุบาย,,,,,,,,,,,,,,,,,
,512,ဥပဘောဂ,u-paˀ-pʰəʊ-kɛ̀ˀ ,อุ-ปะ-โพว-เกี่ยะ ,,,v,ใช้สอย,v,อุปโภค,,,,,,,,,,,,,,,
,513,ဥပရာဇာ,u-paˀ-rɛ̀a-cɛ̀a ,อุ-ปะ-เรีย-เจีย ,,,n,พระอุปราช,n,กษัตริย์รอง,,,,,,,,,,,,,,,
,514,အုပ်လဒမ်,ʔùˀp-lɛ̀ˀ-tòm ,อุบ-เลี่ยะ-ต่ม ,,,v,ดูแล,v,ปกครอง,v,อยู่ยาม,v,อยู่รักษา,,,,,,,,,,,
