broken,no,word,ipa,th,ipa2,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,515,ဥပါဒါန်,u-pa-ta̤n ,อุ-ปา-ต่าน ,,,n,อุปาทาน,n,การยึดมั่นถือมั่น,n,การนึกเอาเอง,,,,,,,,,,,,,
,516,ဥပါသက,u-pa-saˀ-kaˀ ,อุ-ปา-ซะ-กะ ,,,n,อุบาสก,,,,,,,,,,,,,,,,,
,517,ဥပါသိကာ,u-pa-sɔɪ-ka ,อุ-ปา-ซอฺย-กา ,,,n,อุบาสิกา,n,ชลูด (สมุนไพร),,,,,,,,,,,,,,,
,518,ဥပုဟ်,u-pùh ,อุ-ปุฮ ,,,n,อุโบสถ,,,,,,,,,,,,,,,,,
,519,ဥပေက္ခာ,u-pɒk-kʰa ,อุ-ปอฺก-คา ,u-pɛ̀k-kʰa ,อุ-เปียก-คา ,n,อุเบกขา,n,ความเป็นกลาง,,,,,,,,,,,,,,,
,520,ဥပေါဟ်,u-poh ,อุ-โปฮ ,,,n,อุโบสถ,,,,,,,,,,,,,,,,,
,521,ဥပး,u-pah ,อุ-ปะฮ ,,,n,อุบาสกอุบาสิกา,,,,,,,,,,,,,,,,,
,522,ဥပဵု,u-pɒw ,อุ-ปอฺว ,,,n,อุบล,n,ดอกบัว,,,,,,,,,,,,,,,
,523,ဥပဵုလဝန်,u-pɒw-lɛ̀ˀ-wòn ,อุ-ปอฺว-เลี่ยะ-ว่น ,,,n,นางอุบลวรรณาอุบาสิกา,,,,,,,,,,,,,,,,,
,524,ဥမင်,u-mɛˀŋ ,อุ-แม่ง ,,,n,อุโมงค์,,,,,,,,,,,,,,,,,
,525,ဥမတ်,u-mòt ,อุ-ม่ด ,,,adj,บ้า,,,,,,,,,,,,,,,,,
,526,ဥရ,u-rɛ̀ˀ ,อุ-เรี่ยะ ,,,n,อก,,,,,,,,,,,,,,,,,
,527,ဥသ္သဘ,ùˀs-saˀ-pʰɛ̀ˀ ,อุซ-ซะ-เพี่ยะ ,,,n,โคอุสภะ,n,ผู้กล้าหาญ,,,,,,,,,,,,,,,
,528,ဥသဳ,u-saɪ ,อุ-ซอย ,,,n,เนระพูสี,n,แฝกหอม,,,,,,,,,,,,,,,
,529,ဥု,u ,อุ ,,,v,ชุบ,,,,,,,,,,,,,,,,,
,530,ဥုကာ,u-ka ,อุ-กา ,,,n,ตัวเล็น,,,,,,,,,,,,,,,,,
,531,ဥုရှကိုတ်,u-hraˀ-kɒt ,อุ-ฮระ-กอฺด ,,,adj,แจ่มใส,adj,แจ้มแจ้ง,adj,สุกใส,adj,เปล่งปลั่ง,,,,,,,,,,,
