broken,no,word,ipa,th,th2,translates/0/type,translates/0/th,translates/1/type,translates/1/th,translates/2/type,translates/2/th,translates/3/type,translates/3/th,translates/4/type,translates/4/th,translates/5/type,translates/5/th,translates/6/type,translates/6/th,translates/7/type,translates/7/th,examples/0/word,examples/0/type,examples/0/th
,173,အပၠူ,ʔaˀ-plao ,อะ-ปลาว ,,n,กล้ามเนื้อ,,,,,,,,,,,,,,,,,
,174,အပၠေတ်,ʔaˀ-plet ,อะ-เปลด ,,n,มลทิน,n,ความผิด,,,,,,,,,,,,,,,
,175,အပၠေံ,ʔaˀ-plem ,อะ-เปลม ,,n,ชื่อผีร้ายตนหนึ่ง,,,,,,,,,,,,,,,,,
,176,အပၠဴ,ʔaˀ-plao ,อะ-ปลาว ,,n,ที่ราบ,n,พื้นผิวที่เสมอเรียบ,,,,,,,,,,,,,,,
,177,အပင်,ʔaˀ-paˀŋ ,อะ-ปัง ,,n,คุณไสย,n,อำนาจลึกลับ,,,,,,,,,,,,,အပင်ကလော်,n,อำนาจของผี
,178,အပင်ပၠေ,ʔaˀ-paˀŋ-ple ,อะ-ปัง-เปล ,,n,บาดแผล,v,บาดเจ็บ,,,,,,,,,,,,,,,
,179,အပတ်,ʔaˀ-pɒt ,อะ-ปอด ,,n,อาบัติ,n,ทางลัด,n,คลองลัด,,,,,,,,,,,,,
,180,အပါ,ʔaˀ-pa ,อะ-ปา ,,n,พ่อ,,,,,,,,,,,,,,,,,
,181,အပါက်,ʔaˀ-pak ,อะ-ปาก ,,n,ครึ่งหนึ่งของร้อย,n,จำนวน 50,,,,,,,,,,,,,,,
,182,အပါဲ,ʔaˀ-pai ,อะ-ปาย ,,n,อบาย,,,,,,,,,,,,,,,,,
,183,အပါသွီု,ʔaˀ-pa-saˀwɒm ,อะ-ปา-ซะวอฺม ,,n,พ่อเลี้ยง,,,,,,,,,,,,,,,,,
,184,အပေါတ်,ʔaˀ-pot ,อะ-โปด ,,n,เครื่องใช้,n,ของใช้,n,เครื่องใช้ไม้สอย,,,,,,,,,,,အပေါတ်သ္ၚိ,n,เครื่องใช้ในเรือน
,185,အပံင်,ʔaˀ-pɒŋ ,อะ-ปอง ,,n,การรวม,n,ยอดรวม,,,,,,,,,,,,,,,
,186,အပိုင်အခြာ,ʔaˀ-pɒŋ-ʔaˀ-kʰra ,อะ-ปาฺง-อะ-ครา ,,n,เขตแดน,n,ภูมิภาค,n,เขตปกครอง,n,ระยะเวลาที่กำหนด,,,,,,,,,,,
,187,အပိုဟ်,ʔaˀ-pɒh ,อะ-ปอฺฮ ,,n,ต้นอ้อ,,,,,,,,,,,,,,,,,
,188,အဖၠိုက်,ʔaˀ-pʰlɒk ,อะ-พลาฺก ,,n,แร่เคลือบ,,,,,,,,,,,,,,,,,
,189,အဖက်,ʔaˀ-pʰaˀk ,อะ-พัก ,,n,คราว,n,ขนาด,n,รุ่นราวคราวเดียวกัน,,,,,,,,,,,,,
,190,အဖါတ်,ʔaˀ-pʰat ,อะ-พาด ,,n,การเลื่อนเวลานัดหมาย,n,ส่วนเนื้อของแกง,,,,,,,,,,,,,,,
,191,အဘိဓဝ်,ʔaˀ-pʰìˀ-tʰòw ,อะ-พิ่-โท่ว ,,n,พระอภิธรรม,,,,,,,,,,,,,,,,,
,192,အဘိသမ္ဗောဓိ,ʔaˀ-pʰìˀ-sɒm-pəʊ-tʰìˀ ,อะ-พิ่-ซอม-โปว-ทิ่ ,,adv,ตรัสรู้ยิ่ง,,,,,,,,,,,,,,,,,
,193,အဘိုအ်,ʔaˀ-pʰɤˀ ,อะ-เพ่อะ ,,adv,เผื่อ,,,,,,,,,,,,,,,,,
,194,အမတ,ʔaˀ-mɛ̀ˀ-taˀ ,อะ-เมี่ยะ-ตะ ,,adj,อมตะ,,,,,,,,,,,,,,,,,
,195,အမာတ်,ʔaˀ-ma̤t ,อะ-ม่าด ,,n,อำมาตย์,,,,,,,,,,,,,,,,,
,196,အမာဲ,ʔaˀ-ma̤i ,อะ-ม่าย ,,n,อาหาร,n,กับข้าวกับปลา,,,,,,,,,,,,,,,
,197,အမာဲကဗျန်,ʔaˀ-ma̤i-kaˀ-pjòn ,อะ-ม่าย-กะ-ปย่น ,,n,อาหารประเภทปลา,,,,,,,,,,,,,,,,,
,198,အမိင်,ʔaˀ-mɤˀŋ ,อะ-เมิ่ง ,,n,คำสั่ง,,,,,,,,,,,,,,,,,
,199,အမိတ်ဒါန်,ʔaˀ-mìˀt-ta̤n ,อะ-มิ่ด-ต่าน ,,n,คู่รัก,n,แฟน,,,,,,,,,,,,,,,
,200,အမူ,ʔaˀ-mù ,อะ-มู่ ,,n,น้า,n,อา (ผู้ชาย),,,,,,,,,,,,,,,
,201,အမေအ်,ʔaˀ-mèˀ ,อะ-เม่ะ ,,n,ขวานถากด้ามยาว,n,ผึ่ง,,,,,,,,,,,,,,,
,202,အမှဲ,ʔaˀ-hmoa ,อะ-ฮมัว ,,n,ท้องฟ้า,n,กลางหาว,,,,,,,,,,,,,,,
,203,အယခေင်,ʔaˀ-jɛ̀ˀ-kʰɒŋ ,อะ-เยี่ยะ-คอฺง ,,n,ชาวยะไข่,,,,,,,,,,,,,,,,,
,204,အယာံမာတ်,ʔaˀ-jèm-ma̤t ,อะ-เย่ม-ม่าด ,,adj,พอควร,adj,พอประมาณ,adj,ถึงแม้...ก็ตาม,,,,,,,,,,,,,
,205,အယိင်,ʔaˀ-jɤˀŋ ,อะ-เยิ่ง ,,n,มันเหลว,n,น้ำเหลือง,,,,,,,,,,,,,,,
,206,အယုက်,ʔaˀ-jɤˀk ,อะ-เยิ่ก ,,n,อายุ,,,,,,,,,,,,,,,,,
